gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
891157574	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://conabio.inaturalist.org/observations/279824	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Nuevo León	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.392708	-100.36468	29981.0						2008-09-12T11:14:34	12	9	2008	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	279824		Carlos G Velazco-Macias	2013-05-27T20:39:34	CC_BY_NC_4_0	Carlos G Velazco-Macias	Carlos G Velazco-Macias			2026-04-18T06:46:17.103Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6195869942	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/348130743	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Tamaulipas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	23.04061	-99.265994	9.0						2026-04-04T15:29:08	4	4	2026	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	348130743		Liliana Ramírez-Freire	2026-04-07T19:41:28	CC_BY_4_0	Liliana Ramírez-Freire	Liliana Ramírez-Freire			2026-04-18T11:20:12.997Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
6130630739	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/334611403	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Veracruz	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.516538	-97.0608	67.0						2026-01-12T14:36:10	12	1	2026	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	334611403		Peter Quakenbush	2026-01-13T14:59:17	CC_BY_4_0	Peter Quakenbush	Peter Quakenbush			2026-04-18T11:17:12.489Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5935951961	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/328996550	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Tamaulipas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	23.010195	-99.296678	203.0						2025-11-22T14:17	22	11	2025	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	328996550		diego_romeroa	2025-12-01T00:39:26	CC_BY_NC_4_0	diego_romeroa	diego_romeroa			2026-04-18T08:11:20.831Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5920317684	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/329060743	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Tamaulipas	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	22.778498	-98.86953							2025-11-22T14:16:09	22	11	2025	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	329060743		Marcelo Alí Martínez-Guerra	2025-12-09T03:43:54	CC_BY_NC_4_0	Miguel Narváez	Miguel Narváez			2026-04-18T08:11:22.084Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5897835272	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/201718147	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Nuevo León	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.451394	-100.251594	10.0						2024-02-27T12:21	27	2	2024	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	201718147		M. Socorro González Elizondo	2025-06-10T23:51:45	CC_BY_NC_4_0	Álvaro San José Elizundia	Álvaro San José Elizundia			2026-04-18T07:38:44.096Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5892405254	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/325278121	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Nuevo León	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.59329	-100.344911	443.0						2025-11-06T11:51:45	6	11	2025	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	325278121		Pepe	2025-11-07T02:27:51	CC_BY_NC_4_0	Pepe	Pepe			2026-04-18T08:10:19.591Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5292351091	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/248176227	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Nuevo León	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.364019	-100.195021							2024-10-07T12:18	7	10	2024	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	248176227		M. Socorro González Elizondo	2025-06-10T23:45:33	CC_BY_NC_4_0	Craig Jackson	Craig Jackson			2026-04-18T07:49:57.212Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5187803698	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/284732049	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		San Luis Potosí	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.400345	-99.073658	10.0						2025-05-26T16:53:34	26	5	2025	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	284732049		Michel Langeveld	2025-06-08T01:28:34	CC_BY_NC_4_0	timendez	timendez			2026-04-18T11:05:37.895Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
5037029071	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/256590609	Plantae	Tracheophyta	Pinopsida	Pinales	Taxaceae	Taxus	Taxus globosa		SPECIES	Taxus globosa Schltdl.	Taxus globosa		MX		Nuevo León	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.593722	-100.345378	518.0						2024-12-28T10:42:38	28	12	2024	5284554	5284554	HUMAN_OBSERVATION	iNaturalist	Observations	256590609		Pepe	2024-12-29T05:19:30	CC_BY_NC_4_0	Pepe	Pepe			2026-04-18T09:32:30.495Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND
